fc_company_name,fc_logo_url,fc_website,fc_approx_employees,fc_founded,fc_overview,fc_address_line1,fc_address_line2,fc_address_locality,fc_address_region_name,fc_address_postal_code,fc_address_country_name,fc_company_description,final_grade,unnatural_link,spam_score,trust_metrics,link_popularity,rank,industry_ranking,inc_ranking,Industry,revenue
Progressive Dental Marketing,https://d2ojpxxtu63wzl.cloudfront.net/static/057e72ddbbd48fc62fec51344531901e_6f1a2d8aea3b9a9ea0e698553263e60b41b69c20d792ba8b4970f6c1c682e4dd,http://progressivedentalmarketing.com,30,2009,"Basketball, Dentistry, Health, Health Care, Toothpaste",,,,,,,"CEO Bart Knellinger founded Progressive Dental in 2009. Since the company's launch, we have grown into a diverse and dynamic team comprised of internet marketing specialists, web designers, software developers, graphic designers, copywriters, and customer service representatives.",C,F,B,D,D,135,17,252,Advertising & Marketing,4.4
TruScribe,https://d2ojpxxtu63wzl.cloudfront.net/static/afe7887a9a18195ed7a1d9e5c419d2f4_62d0c91715f8bfe0edf54c8d4c5c40624df8390bc4411d94524a67c640994b48,http://truscribe.com,30,2011,"Animation, Minneapolis, Online Learning, User Experience Design, Wisconsin",,,,,,,"TruScribe is a video scribing and whiteboard animation company that uses the science of Scribology™ to Move Messages. Its proprietary methodology for creating whiteboard video, called Scribology™, is based in neuroscience and behavioral psychology research.",C,A,A,D,D,166,10,253,Business Products & Services,2.4
Santecresources,http://www.santecresources.net/_layout/images/logo.png,http://santecresources.net,0,2006,"Provides IT staffing, Web design, e-commerce implementation, software development, architecture and technology consulting, networking, and enterprise technology services.",,,,,,,"Santec Resources Inc.(SRI) was started by a highly motivated group of professionals with many years of experience and success in the IT field. Their goal was simple: to share their expertise and provide the best IT training and services available.SRI provides innovative and flexible solutions for the technological needs of virtually every industry sector. Our professionals enable you to undertake new projects and tackle new product areas with greater speed. Because of our focus on technology, we are keenly aware of its application in different industries and product areas. We hire seasoned, industry-related experts who are successful at understanding your business and easily adapt to your corporate culture.",F,A,A,F,F,467,36,254,IT Services,2
TENICA and Associates LLC,http://tenica.biz/images/logo_tenica.png,http://tenica.biz,30,2008,Global Security Planning Solutions,,,,,,,"TENICA and Associates LLC is a leading provider of governmentservices and consulting solutions in the areas of national defense, homeland and cyber security for both government and commercial clients.  TENICA has extensive experience managing programs and projects within the fields of professional services, logistics and supply chain management, crisis prevention and response solutions andinformation technology.",F,A,D,F,F,335,12,255,Government Services,6.2
"Favor TechConsulting, LLC",http://www.ftc-llc.com/images/SBA-8A-Certification-Logo-jpg.jpg,http://favortechconsulting.com,42379,2014,information management and information technology,,,,,,,"Favor TechConsulting, LLC (FTC) delivers leading edge information management and information technology (IM/IT) services to a wide variety of corporate and government clients. FTC's success is built upon a proactive, customer-centric, and best practices-based approach which incorporates continuous process improvement. This focus on excellence extends to all aspects of our client organization, resulting in a client partnership which is flexible, transparent, and responsive, providing services and products that organizations can rely upon.",F,B,D,F,F,405,23,256,IT Services,11.8
Pipeliner CRM,https://static.pipelinersales.com/typo3conf/ext/pipeliner_theme/Resources/Public/Template/Images/Logos/logo-pipeliner-dark.svg,http://pipelinersales.com,150,2007,"CRM Software, CRM Software for Mac, Customer Relationship Software, Pipeline Software, Pipeliner, Pipeliner CRM, Pipelinersales, Sales CRM, Sales Crm Online, Sales Crm System, Sales Software",,,,,,,"Built by professional salespeople for professional salespeople, Pipeliner is a proprietary visual tool that engages sales organizations to always prioritize what matters most. We enable your sales process to flourish.",A,A,A,B,B,22,4,257,Software,4.6
Tipsy Elves,https://d2ojpxxtu63wzl.cloudfront.net/static/758460368c321598592bd9fea1af6c09_62f17744f4feed53b89953160cb979af76cfae5736572c7b11b140b7aeaf163c,http://tipsyelves.com,5,2011,"Buy Ugly Christmas Sweaters, Christmas Accessories, Christmas Jumpers, Christmas Sweater, Christmas Sweaters, Humping Reindeer Sweater, Tacky Christmas Sweaters, Ugly Christmas Sweater, Ugly Christmas Sweater Store, Ugly Christmas Sweaters",,,,,,,Tipsy Elves is all about fun! We are an ecommerce based design company and lifestyle brand that makes hilariously awesome apparel for any occasion!,A,A,A,B,C,30,4,258,Retail,6.4
Insureon,https://d2ojpxxtu63wzl.cloudfront.net/static/a747465b3344281ef230293b6007bc90_f8944e0ef66298334b16a0ed19e309842a5e657cc4fe5e8a2eef8853f9d830a7,http://insureon.com,150,1997,"Finance, Journalism, Leadership, Management, Personal Finance",,,,,,,"With better technology, better customer service, and a better vision, Insureon has helped hundreds of thousands of small-business owners find the right insurance, save time and money, and avoid the stress normally associated with buying insurance.In 2011, Insureon launched with one goal: rethink the way entrepreneurs protect their businesses. The company brought together a team of tech and insurance leaders to build a new platform designed specifically for the small-business owner.",B,A,D,B,C,62,1,259,Insurance,17.6
My Home Group,http://myhomegroup.com/images/againmhgheader1.png,http://myhomegroup.com,11-50 employees,2013,"Agent Careers, Buyers, Dc Ranch, Dc Ranch Scottsdale, Homes, Housing Market, Mls, My Home Group, Real Estate, Scottsdale Real Estate, Sellers",,,,,,,"A new and better way to sell your home.  Founded in late 2013, the MyHomeGroup was born out of a desire to give you more choice when it comes to selling or renting your home, and importantly, save you money along the way.",B,A,B,B,D,60,1,260,Real Estate,2.7
CarrierDirect,https://d2ojpxxtu63wzl.cloudfront.net/static/d5976e0adb9b4af4ab49e81d7c3c0aed_32bd9842b868896b297e2a57f6a004ee6a24183125df282160726aa7d8608980,http://carrierdirect.co,30,2011,"Transportation Consulting, LTL Transportation, Third Party Logistics Providers, Domestic Freight, Transportation Technology, LTL Pricing Strategy, LTL Blanket Pricing",,,,,,,"CarrierDirect is a leading provider of strategic and tactical consulting services to carriers, third-party logistics companies and large shippers.",F,F,D,F,D,388,10,261,Logistics & Transportation,2.3
Adzerk,https://d2ojpxxtu63wzl.cloudfront.net/static/a1985d96ef77a599f7e682ea38613c63_bd8eb0fdf9637858fd293ca5fa69223d7818e101af3fe7abfed9f708da3d2688,http://adzerk.com,30,2009,"Advertising, Advertising Platforms, Cloud Computing, Finance, Journalism, Management, Mobile Advertising, SaaS, Web Development",,,,,,,"We empower sites and apps to build revenue from relevant advertising. Adzerk is the API-based ad server that provides the infrastructure for publishers, communities, marketplaces, and utilities to customize and scale advertising. We support banners, video, native, and custom units. Serve any ad, anywhere.",C,A,B,C,C,214,29,262,Software,2.1
Elevated.com,https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAd-AAAAJDI4NTFkN2FhLWVlMDYtNGZlOC05NzE2LWQ3YzcwYTJkOWU2OA.png,http://elevated.com,11-50 employees,2011,"Fiction, Finance, Graphic Design, Leadership, Management, Web Development",,,,,,,"We are an internet marketing agency specializing in SEO, CRO, Paid Media / Search, Web Development, and Design.GROWING BRIGHT IDEAS ONLINE.The internet is no longer a place for overnight success.  The barrier to entry is the lowest ever, making it that much more important to execute perfectly.  We want to partner in that effort.",C,F,B,D,D,169,25,263,Advertising & Marketing,3.8
SeatGeek,https://d2ojpxxtu63wzl.cloudfront.net/static/30e8f874597c08681ed5f08e4bf49eb1_4d030b1ffe85f28a92b2c674b70540750e9df803864280c7fb8ba6280a8c7aa3,http://seatgeek.com,100,2009,"Ariana Grande, Baseball, Concert Tickets, Entertainment, Event Discovery, Events, Journalism, Lobbying, Maps, Mlb Tickets, Nba Tickets, Nfl Tickets, Nhl Tickets, Search, Sports Tickets, Ticket Search, Ticketing",,,,,,,"SeatGeek is changing the way people discover & attend live events. We enable users to quickly discover tickets to sports/music events and find amazing deals on tickets. We're an assortment of bright, talented, and interesting people united by the mission to change the way people buy tickets. By day, we're a group of talented developers, designers, marketers, and businessfolk working together to build something new and different.",A,A,A,A,A,17,4,264,Consumer Products & Services,27.4
HigherVisibility,https://d2ojpxxtu63wzl.cloudfront.net/static/5de5cf54755abe75c554eca91fddab74_a7c828011504f507ff91c9c9261921e7d27f38a341d2454cbb3a39592d14f356,http://highervisibility.com,30,2008,"Books, DuckDuckGo, Hubspot, Leadership, Management",,,,,,,"HigherVisibility is an interactive marketing agency that offers a full range of internet marketing services ranging from Search Engine Optimization, Pay Per Click Marketing and Website Design. Contact us today to find out how we can help your business grow.",C,F,A,B,B,143,19,265,Advertising & Marketing,3.8
Savage Race,https://d2ojpxxtu63wzl.cloudfront.net/static/418c6faa6fed263c5a79bf2e55e7c6b9_60da51c49d3720819168f8bac22bb26fc0a755991979c069c9bb2a5cfa822ca3,http://savagerace.com,11-50 employees,2011,"Celebrities, Journalism, Ketogenic Diet, Management, The Walking Dead",,,,,,,"Savage Race is a 5-6 mile run with 25 of the world's best obstacles. Completion requires teamwork, courage, and the will to push your limits farther than you ever have before. Run individually or create a team!",B,A,A,C,C,102,19,266,Health,3.7
NanoLumens,https://d2ojpxxtu63wzl.cloudfront.net/static/69cb27a927a2f39cad91a8c889a4f92e_7378d08b147281a66f4a094f7a1312fc7f12590041202c675cc5c6c93f808685,http://nanolumens.com,150,2006,"B2B, Democratic Party, Georgia, Graphic Design, Hardware + Software, Indoor Video, Innovation, LED Pixels, LED Video Displays, Large-Screen LED Video Displays, Liberal Democrats, Manufacturing, NanoLumen LED Displays, Parties, Permanent LED Video Install, Politics, Progressive Politics",,,,,,,"NanoLumens, headquartered in Norcross, Georgia,  creates LED displays impactful enough to deliver a truly immersive experience.  At NanoLumens, we combine the world’s most powerful LED sign platform with an unparalleled array of visual communication services to produce the world’s most engaging customer experiences – for you and your business.",C,A,A,D,C,134,2,267,Manufacturing,18
"The Birdsey Group, LLC",https://media.licdn.com/media/p/7/000/1ae/3fe/07048cb.png,http://birdseygroup.com,11-50 employees,2004,"Site Inspection/Market Analysis, Securitization Support, Underwriting, Asset Management, Servicing Support",,,,,,,"QUALITY and URGENCY are the two critical traits of a successful financial services firm. The Birdsey Group, LLC commits the highest levels of experience, efficiency and enthusiasm in order to exceed our client’s expectations and develop the trust necessary to be a valued addition of a deal team.",F,C,C,F,F,349,13,268,Real Estate,8
Patagonia Health,https://d2ojpxxtu63wzl.cloudfront.net/static/f8040c2da4850790228de39fb9937e2c_42ec61ee4c441903403f5500067ffc73d72426d533f88a2824da1fba7fd3ffe6,http://patagoniahealth.com,20,2008,"Electronic Health Records, Electronic Medical Records, Health Care, Health Care Information Technology, Hospitals, U.S. Department of Health and Human Services",,,,,,,"Patagonia Health is a leading provider of cloud and apps-based healthcare software solution. The solution includes an integrated, federally-certified, Electronic Health Record (EHR), Practice Management (PM) and Billing software. The company’s mission is to solve two major barriers to EHR adoption—usability and cost—and address customers’ number one problem: billing. Patagonia Health’s one-of-a-kind apps-based system represents a paradigm shift in the EHR software industry, and its highly-intelligent solution uses sophisticated technology that is extremely easy to use. Innovative and unique apps provide timely data for organizations to improve workflow, streamline operations and take their organizations to the next level",D,A,C,D,D,238,29,269,Health,3.1
Lurong Living,https://d2ojpxxtu63wzl.cloudfront.net/static/e177ceae57a74b4cc9be088b93235a36_25cf71c4ba0e6548500d868b66105ca7c94f164d9d1b005ba4093c6cdcbc2500,http://lurongliving.com,5,1-10 employees,"Health, Wellness and Fitness",,,,,,,"Lurong Living is a family of everyday people committed to changing lives through education and nutritional products. It is our mission to give people back the healthy life style they deserve without using synthesized products that have damaging long term effects. We are a way of life, a family and a growing culture. Join the revolution, join the family and get healthy now.",B,F,A,D,C,98,18,270,Health,2.2
RSR,http://www.rsr.com/images/logo1.png,http://rsr.com,51-200 employees,2009,Management Consulting :: Cloud Computing :: IT Systems Integration,,,,,,,"RSR provides Management Consulting, Information Technology Systems Integration, and Big Data services to the Federal Government and the Private Sector. On this page we share news, events, and the latest from RSR. We encourage and appreciate your participation, conversation, and feedback.",D,A,C,D,D,241,5,271,Government Services,13.2
